Magic,Pistons,Pistons
Hawks,Rockets,Hawks
Pelicans,Nets,Pelicans
Bulls,Heat,Bulls
Knicks,Grizzlies,Grizzlies
Cavaliers,Raptors,Raptors
Timberwolves,Thunder,Timberwolves
Spurs,Hornets,Hornets
Nuggets,Jazz,Jazz
Mavericks,Suns,Suns
Trail Blazers,Kings,Trail Blazers
Pacers,Wizards,Wizards
Clippers,Lakers,Clippers
Bucks,76ers,Bucks
Pelicans,Hornets,Pelicans
Pacers,Spurs,Spurs
Bulls,Wizards,Wizards
Hawks,Magic,Hawks
Celtics,Heat,Celtics
Knicks,Pistons,Knicks
Nets,Raptors,Nets
Rockets,Grizzlies,Grizzlies
Timberwolves,Jazz,Jazz
Nuggets,Warriors,Nuggets
Trail Blazers,Suns,Trail Blazers
